Time resolution is 1 ps
t=1065000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=1075000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=1085000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=1095000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=1105000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=1115000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=1125000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=1135000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=1145000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=1155000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=1165000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=1175000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=1185000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=1195000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
  [ OK ] core1 re-read of A after core0's write (coherence!): 0xdeadbeef12345678
  [ OK ] core0 own read-back of A: 0xdeadbeef12345678
  [ OK ] core2 fresh read of A after core1's store-hit write: 0x1111222233334444
  [ OK ] core0 stale copy of A invalidated by core1's write: 0x1111222233334444
  [ OK ] core2 read of unrelated line B (no cross-talk): 0xcafef00d0badf00d
PHASE3 TEST: PASS - CacheArchitecture MESI coherence (write-through + snoop-invalidate + forced writeback-on-snoop) verified.
$finish called at time : 10175 ns : File "D:/Study/KLTN/MMU/MMU/CACHE/tb_cache_architecture.sv" Line 244
